Date,Day,Occasion_English,Occasion_Gujarati,Category,Cultural_Context,Visual_Mood,Priority,Message_English,Message_Gujarati,Illustration_Prompt,Palette,Style,Season,Language,Approval_Status,Version,Record_Type,Emotion,Why_This_Day,Gujarati_Editorial_Status,Message_ID
2026-01-01,Thursday,New Year's Day,નવા વર્ષનો દિવસ,International Celebration,Western,Celebration,1,A new year does not change life by itself; meaningful change begins with the choices we make each day.,નવું વર્ષ તો માત્ર શરૂઆત છે; સાચો બદલાવ રોજ કરેલા સારા નિર્ણયોથી આવે છે.,"Premium global New Year's Eve greeting-card scene with midnight blue sky, champagne-gold fireworks, elegant clock approaching midnight, refined city lights, generous clear text space, no diya, rangoli, temple or Indian religious motif.",Midnight Indigo,Royal Greeting,Winter,EN+GU,Draft,1.0,Named Occasion,Hope,"The Gregorian New Year is observed worldwide on 1 January. It is commonly used as a moment to reflect, reset priorities and begin the year with clearer intentions.",Festival wording — review before final,OCCASION-2026-01-01
2026-01-02,Friday,Purposeful Day,હેતુપૂર્ણ દિવસ,Everyday Inspiration,Indian,Purpose,3,A clear purpose gives direction to even the smallest effort. Choose one worthwhile task and do it well today.,હેતુ સ્પષ્ટ હોય તો નાનો પ્રયત્ન પણ સાચી દિશામાં આગળ વધે છે. આજે એક સારું કામ પસંદ કરો અને દિલથી પૂરું કરો.,Premium greeting-card artwork for Character Day; cultural context: Indian; mood: Integrity; season: Winter; elegant composition with clear bilingual text space; authentic details; no text inside artwork.,Heritage Sandstone,Modern Editorial,Winter,EN+GU,Draft,1.0,Evergreen,Purpose,"Character Day is presented in this working calendar as a day for thoughtful reflection, cultural respect and positive action.",Natural spoken Gujarati — reviewed,EVERGREEN-001
2026-01-03,Saturday,Character Day,ચારિત્ર્ય દિવસ,Indian Values,Indian,Integrity,3,Character grows through choices made when no one is watching. Do the right thing even when it brings no applause.,કોઈ જોઈ રહ્યું ન હોય ત્યારે કરેલી સાચી પસંદગીથી ચારિત્ર્ય બને છે. વખાણ ન મળે તો પણ સાચું કામ કરો.,Premium greeting-card artwork for Gratitude Day; cultural context: Indian; mood: Gratitude; season: Winter; elegant composition with clear bilingual text space; authentic details; no text inside artwork.,Heritage Sandstone,Classic Heritage,Winter,EN+GU,Draft,1.0,Evergreen,Integrity,"Gratitude Day is presented in this working calendar as a day for thoughtful reflection, cultural respect and positive action.",Natural spoken Gujarati — reviewed,EVERGREEN-002
2026-01-04,Sunday,World Braille Day,વિશ્વ બ્રેલ દિવસ,International Observance,Global,Inclusion,1,"Let the meaning of World Braille Day guide us toward responsibility, respect and thoughtful action.","વિશ્વ બ્રેલ દિવસનો અર્થ આપણને જવાબદારી, સન્માન અને વિચારપૂર્વકના કાર્ય તરફ દોરી જાય.",Premium greeting-card artwork for World Braille Day; cultural context: Global; mood: Inclusion; season: Winter; elegant composition with clear bilingual text space; authentic details; no text inside artwork.,Midnight Indigo,Modern Editorial,Winter,EN+GU,Draft,1.0,Named Occasion,Inclusion,"World Braille Day is presented in this working calendar as a day for thoughtful reflection, cultural respect and positive action.",Festival wording — review before final,OCCASION-2026-01-04
2026-01-05,Monday,Gratitude Day,કૃતજ્ઞતા દિવસ,Indian Values,Indian,Gratitude,3,Gratitude makes ordinary blessings easier to notice. Pause today and thank someone whose care often goes unnoticed.,"આભાર માનવાની ટેવ હોય તો રોજિંદી નાની ખુશીઓ પણ દેખાય છે. આજે એવા કોઈને આભાર કહો, જેમની કાળજી આપણે ઘણી વાર સ્વાભાવિક માની લઈએ છીએ.",Premium greeting-card artwork for Kindness Day; cultural context: Indian; mood: Compassion; season: Winter; elegant composition with clear bilingual text space; authentic details; no text inside artwork.,Lotus Pink,Royal Greeting,Winter,EN+GU,Draft,1.0,Evergreen,Gratitude,"Kindness Day is presented in this working calendar as a day for thoughtful reflection, cultural respect and positive action.",Natural spoken Gujarati — reviewed,EVERGREEN-003
2026-01-06,Tuesday,Learning Day,શીખવાનો દિવસ,Education,Indian,Wisdom,3,Every difficulty can teach something that comfort cannot. Ask one question today without being afraid of not knowing.,મુશ્કેલી ઘણી વાર એવી વાત શીખવે છે જે આરામમાં ક્યારેય સમજાતી નથી. આજે કંઈ ખબર ન હોય તો નિઃસંકોચ પૂછો.,Premium greeting-card artwork for Discipline Day; cultural context: Indian; mood: Determination; season: Winter; elegant composition with clear bilingual text space; authentic details; no text inside artwork.,Peacock Royal,Modern Editorial,Winter,EN+GU,Draft,1.0,Evergreen,Wisdom,"Discipline Day is presented in this working calendar as a day for thoughtful reflection, cultural respect and positive action.",Natural spoken Gujarati — reviewed,EVERGREEN-004
2026-01-07,Wednesday,Kindness Day,દયાનો દિવસ,Social Values,Indian,Compassion,3,A small kindness can become the best part of someone's day. Offer help before someone has to ask twice.,દયાનો નાનો હાવભાવ પણ કોઈના આખા દિવસને સુંદર બનાવી શકે છે. કોઈને વારંવાર કહેવું ન પડે તે પહેલાં મદદનો હાથ આપો.,Premium greeting-card artwork for Family Values Day; cultural context: Indian; mood: Affection; season: Winter; elegant composition with clear bilingual text space; authentic details; no text inside artwork.,Lotus Pink,Royal Greeting,Winter,EN+GU,Draft,1.0,Evergreen,Compassion,"Family Values Day is presented in this working calendar as a day for thoughtful reflection, cultural respect and positive action.",Natural spoken Gujarati — reviewed,EVERGREEN-005
2026-01-08,Thursday,Discipline Day,શિસ્ત દિવસ,Work Ethics,Indian,Determination,3,Discipline turns good intentions into dependable progress. Complete the task you have been postponing.,શિસ્ત સારા ઇરાદાને સાચી પ્રગતિમાં બદલે છે. જે કામ વારંવાર મુલતવી રાખ્યું છે તે આજે પૂરું કરો.,Premium greeting-card artwork for Service Day; cultural context: Indian; mood: Service; season: Winter; elegant composition with clear bilingual text space; authentic details; no text inside artwork.,Midnight Indigo,Modern Editorial,Winter,EN+GU,Draft,1.0,Evergreen,Determination,"Service Day is presented in this working calendar as a day for thoughtful reflection, cultural respect and positive action.",Natural spoken Gujarati — reviewed,EVERGREEN-006
2026-01-09,Friday,Pravasi Bharatiya Divas,પ્રવાસી ભારતીય દિવસ,National Observance,Indian,Pride,1,"Let the meaning of Pravasi Bharatiya Divas guide us toward responsibility, respect and thoughtful action.","પ્રવાસી ભારતીય દિવસનો અર્થ આપણને જવાબદારી, સન્માન અને વિચારપૂર્વકના કાર્ય તરફ દોરી જાય.",Premium greeting-card artwork for Pravasi Bharatiya Divas; cultural context: Indian; mood: Pride; season: Winter; elegant composition with clear bilingual text space; authentic details; no text inside artwork.,Heritage Sandstone,Classic Heritage,Winter,EN+GU,Draft,1.0,Named Occasion,Pride,"Pravasi Bharatiya Divas is presented in this working calendar as a day for thoughtful reflection, cultural respect and positive action.",Festival wording — review before final,OCCASION-2026-01-09
2026-01-10,Saturday,World Hindi Day,વિશ્વ હિન્દી દિવસ,Language and Culture,Global,Cultural Pride,1,"Let the meaning of World Hindi Day guide us toward responsibility, respect and thoughtful action.","વિશ્વ હિન્દી દિવસનો અર્થ આપણને જવાબદારી, સન્માન અને વિચારપૂર્વકના કાર્ય તરફ દોરી જાય.",Premium greeting-card artwork for World Hindi Day; cultural context: Global; mood: Cultural Pride; season: Winter; elegant composition with clear bilingual text space; authentic details; no text inside artwork.,Heritage Sandstone,Modern Editorial,Winter,EN+GU,Draft,1.0,Named Occasion,Cultural Pride,"World Hindi Day is presented in this working calendar as a day for thoughtful reflection, cultural respect and positive action.",Festival wording — review before final,OCCASION-2026-01-10
2026-01-11,Sunday,Family Values Day,પરિવાર મૂલ્યો દિવસ,Family,Indian,Affection,3,"Strong families are built through time, respect and listening. Give someone at home your full attention today.","મજબૂત પરિવાર સમય, સન્માન અને એકબીજાને સાંભળવાથી બને છે. આજે ઘરના કોઈને થોડો સમય પૂરા ધ્યાનથી સાંભળો.",Premium greeting-card artwork for Courage Day; cultural context: Indian; mood: Courage; season: Winter; elegant composition with clear bilingual text space; authentic details; no text inside artwork.,Lotus Pink,Royal Greeting,Winter,EN+GU,Draft,1.0,Evergreen,Affection,"Courage Day is presented in this working calendar as a day for thoughtful reflection, cultural respect and positive action.",Natural spoken Gujarati — reviewed,EVERGREEN-007
2026-01-12,Monday,National Youth Day,રાષ્ટ્રીય યુવા દિવસ,National Observance,Indian,Inspiration,1,"Let the meaning of National Youth Day guide us toward responsibility, respect and thoughtful action.","રાષ્ટ્રીય યુવા દિવસનો અર્થ આપણને જવાબદારી, સન્માન અને વિચારપૂર્વકના કાર્ય તરફ દોરી જાય.",Premium greeting-card artwork for National Youth Day; cultural context: Indian; mood: Inspiration; season: Winter; elegant composition with clear bilingual text space; authentic details; no text inside artwork.,Royal Saffron,Modern Editorial,Winter,EN+GU,Draft,1.0,Named Occasion,Inspiration,"National Youth Day is presented in this working calendar as a day for thoughtful reflection, cultural respect and positive action.",Festival wording — review before final,OCCASION-2026-01-12
2026-01-13,Tuesday,Lohri,લોહડી,Festival,Regional Indian,Joy,1,"Let the meaning of Lohri guide us toward responsibility, respect and thoughtful action.","લોહડીનો અર્થ આપણને જવાબદારી, સન્માન અને વિચારપૂર્વકના કાર્ય તરફ દોરી જાય.",Premium greeting-card artwork for Lohri; cultural context: Regional Indian; mood: Joy; season: Winter; elegant composition with clear bilingual text space; authentic details; no text inside artwork.,Festival Gold,Royal Greeting,Winter,EN+GU,Draft,1.0,Named Occasion,Joy,"Lohri is presented in this working calendar as a day for thoughtful reflection, cultural respect and positive action.",Festival wording — review before final,OCCASION-2026-01-13
2026-01-14,Wednesday,Makar Sankranti • Uttarayan • Pongal,મકર સંક્રાંતિ • ઉત્તરાયણ • પોંગલ,Festival,Regional Indian,Joy,1,"Let your aspirations rise like a kite, while your values keep you firmly grounded.","સપનાઓને પતંગ જેટલી ઊંચી ઉડાન આપો, પણ પગ હંમેશા સંસ્કારની જમીન પર જ રહેવા દો.","Golden winter morning over old Ahmedabad rooftops, colourful kites filling the sky, Gujarati families celebrating together, cinematic premium digital painting, joyful energy, generous clear bilingual text space, no text in artwork.",Royal Saffron,Nature Canvas,Winter,EN+GU,Draft,1.0,Named Occasion,Joy,"Uttarayan marks the Sun’s northward journey and is celebrated across Gujarat with kite flying, shared meals and community gatherings. The day also coincides with Makar Sankranti and harvest traditions across India.",Festival wording — review before final,OCCASION-2026-01-14
2026-01-15,Thursday,Army Day,સેના દિવસ,National Observance,Indian,Pride,1,"Let the meaning of Army Day guide us toward responsibility, respect and thoughtful action.","સેના દિવસનો અર્થ આપણને જવાબદારી, સન્માન અને વિચારપૂર્વકના કાર્ય તરફ દોરી જાય.",Premium greeting-card artwork for Army Day; cultural context: Indian; mood: Pride; season: Winter; elegant composition with clear bilingual text space; authentic details; no text inside artwork.,Heritage Sandstone,Classic Heritage,Winter,EN+GU,Draft,1.0,Named Occasion,Pride,"Army Day is presented in this working calendar as a day for thoughtful reflection, cultural respect and positive action.",Festival wording — review before final,OCCASION-2026-01-15
2026-01-16,Friday,Service Day,સેવાનો દિવસ,Social Responsibility,Indian,Service,3,Service becomes noble when humility is greater than recognition. Do one useful thing today without announcing it.,પ્રસિદ્ધિ કરતાં વિનમ્રતા મોટી હોય ત્યારે સેવા મહાન બને છે. આજે એક કામ કોઈને કહ્યા વગર કરી આપો.,Premium greeting-card artwork for Learning Day; cultural context: Indian; mood: Wisdom; season: Winter; elegant composition with clear bilingual text space; authentic details; no text inside artwork.,Royal Saffron,Classic Heritage,Winter,EN+GU,Draft,1.0,Evergreen,Service,"Learning Day is presented in this working calendar as a day for thoughtful reflection, cultural respect and positive action.",Natural spoken Gujarati — reviewed,EVERGREEN-008
2026-01-17,Saturday,Patience Day,ધીરજ દિવસ,Everyday Inspiration,Indian,Calm,3,Patience is steady effort without unnecessary anxiety. Continue the process without judging it too early.,ધીરજ એટલે હાથ પર હાથ ધરી બેસવું નહીં; ચિંતા વગર સતત પ્રયત્ન કરવો. પરિણામ વહેલું ન દેખાય તો પણ પ્રક્રિયા ચાલુ રાખો.,Premium greeting-card artwork for Kindness Day; cultural context: Indian; mood: Compassion; season: Winter; elegant composition with clear bilingual text space; authentic details; no text inside artwork.,Monsoon Green,Spiritual Serenity,Winter,EN+GU,Draft,1.0,Evergreen,Calm,"Kindness Day is presented in this working calendar as a day for thoughtful reflection, cultural respect and positive action.",Natural spoken Gujarati — reviewed,EVERGREEN-009
2026-01-18,Sunday,Unity Day,એકતા દિવસ,Indian Values,Indian,Unity,3,Differences become strength when respect remains common. Work with someone whose approach differs from yours.,પરસ્પર સન્માન હોય તો ભિન્નતા પણ શક્તિ બની જાય છે. આજે તમારી રીતથી અલગ રીતે કામ કરનાર સાથે સહકાર આપો.,Premium greeting-card artwork for Discipline Day; cultural context: Indian; mood: Determination; season: Winter; elegant composition with clear bilingual text space; authentic details; no text inside artwork.,Royal Saffron,Classic Heritage,Winter,EN+GU,Draft,1.0,Evergreen,Unity,"Discipline Day is presented in this working calendar as a day for thoughtful reflection, cultural respect and positive action.",Natural spoken Gujarati — reviewed,EVERGREEN-010
