Date,Day,Occasion_English,Occasion_Gujarati,Category,Cultural_Context,Visual_Mood,Priority,Message_English,Message_Gujarati,Illustration_Prompt,Palette,Style,Season,Language,Approval_Status,Version,Record_Type
2026-01-01,Thursday,New Year's Day,નવા વર્ષનો દિવસ,International Celebration,Global,Hope,1,A new year does not change life by itself; meaningful change begins with the choices we make each day.,નવું વર્ષ પોતે જીવન બદલતું નથી; અર્થપૂર્ણ પરિવર્તન દરરોજ આપણે કરેલી પસંદગીઓથી શરૂ થાય છે.,Premium greeting-card artwork for New Year's Day; cultural context: Global; mood: Hope; season: Winter; elegant composition with clear bilingual text space; authentic details; no text inside artwork.,Festival Gold,Royal Greeting,Winter,EN+GU,Draft,1.0,Named Occasion
2026-01-02,Friday,Character Day,ચારિત્ર્ય દિવસ,Indian Values,Indian,Integrity,3,"Character is built quietly, through choices made when no one is watching.","ચારિત્ર્ય શાંતિથી બને છે—ખાસ કરીને ત્યારે, જ્યારે કોઈ જોઈ રહ્યું ન હોય અને આપણે યોગ્ય પસંદગી કરીએ.",Premium greeting-card artwork for Character Day; cultural context: Indian; mood: Integrity; season: Winter; elegant composition with clear bilingual text space; authentic details; no text inside artwork.,Heritage Sandstone,Classic Heritage,Winter,EN+GU,Draft,1.0,Evergreen
2026-01-03,Saturday,Gratitude Day,કૃતજ્ઞતા દિવસ,Indian Values,Indian,Gratitude,3,Gratitude does not reduce ambition; it gives ambition a peaceful foundation.,કૃતજ્ઞતા મહત્ત્વાકાંક્ષાને ઘટાડતી નથી; તે તેને શાંતિપૂર્ણ આધાર આપે છે.,Premium greeting-card artwork for Gratitude Day; cultural context: Indian; mood: Gratitude; season: Winter; elegant composition with clear bilingual text space; authentic details; no text inside artwork.,Lotus Pink,Royal Greeting,Winter,EN+GU,Draft,1.0,Evergreen
2026-01-04,Sunday,World Braille Day,વિશ્વ બ્રેલ દિવસ,International Observance,Global,Inclusion,1,"Let the meaning of World Braille Day guide us toward responsibility, respect and thoughtful action.","વિશ્વ બ્રેલ દિવસનો અર્થ આપણને જવાબદારી, સન્માન અને વિચારપૂર્વકના કાર્ય તરફ દોરી જાય.",Premium greeting-card artwork for World Braille Day; cultural context: Global; mood: Inclusion; season: Winter; elegant composition with clear bilingual text space; authentic details; no text inside artwork.,Midnight Indigo,Modern Editorial,Winter,EN+GU,Draft,1.0,Named Occasion
2026-01-05,Monday,Kindness Day,દયાનો દિવસ,Social Values,Indian,Compassion,3,A small act of kindness can become the part of someone's day they remember most.,દયાનો નાનો કાર્ય કોઈના દિવસની સૌથી યાદગાર ક્ષણ બની શકે છે.,Premium greeting-card artwork for Kindness Day; cultural context: Indian; mood: Compassion; season: Winter; elegant composition with clear bilingual text space; authentic details; no text inside artwork.,Lotus Pink,Royal Greeting,Winter,EN+GU,Draft,1.0,Evergreen
2026-01-06,Tuesday,Discipline Day,શિસ્ત દિવસ,Work Ethics,Indian,Determination,3,Discipline turns good intentions into steady progress.,શિસ્ત સારા ઇરાદાઓને સતત પ્રગતિમાં બદલે છે.,Premium greeting-card artwork for Discipline Day; cultural context: Indian; mood: Determination; season: Winter; elegant composition with clear bilingual text space; authentic details; no text inside artwork.,Midnight Indigo,Modern Editorial,Winter,EN+GU,Draft,1.0,Evergreen
2026-01-07,Wednesday,Family Values Day,પરિવાર મૂલ્યો દિવસ,Family,Indian,Affection,3,"A strong family is built through time, respect and the willingness to listen.","મજબૂત પરિવાર સમય, સન્માન અને એકબીજાને સાંભળવાની તૈયારીથી બને છે.",Premium greeting-card artwork for Family Values Day; cultural context: Indian; mood: Affection; season: Winter; elegant composition with clear bilingual text space; authentic details; no text inside artwork.,Lotus Pink,Royal Greeting,Winter,EN+GU,Draft,1.0,Evergreen
2026-01-08,Thursday,Service Day,સેવાનો દિવસ,Social Responsibility,Indian,Service,3,Service becomes noble when it is offered with humility rather than recognition in mind.,"સેવા ત્યારે મહાન બને છે જ્યારે તે પ્રસિદ્ધિ માટે નહીં, પરંતુ વિનમ્રતાથી કરવામાં આવે.",Premium greeting-card artwork for Service Day; cultural context: Indian; mood: Service; season: Winter; elegant composition with clear bilingual text space; authentic details; no text inside artwork.,Royal Saffron,Classic Heritage,Winter,EN+GU,Draft,1.0,Evergreen
2026-01-09,Friday,Pravasi Bharatiya Divas,પ્રવાસી ભારતીય દિવસ,National Observance,Indian,Pride,1,"Let the meaning of Pravasi Bharatiya Divas guide us toward responsibility, respect and thoughtful action.","પ્રવાસી ભારતીય દિવસનો અર્થ આપણને જવાબદારી, સન્માન અને વિચારપૂર્વકના કાર્ય તરફ દોરી જાય.",Premium greeting-card artwork for Pravasi Bharatiya Divas; cultural context: Indian; mood: Pride; season: Winter; elegant composition with clear bilingual text space; authentic details; no text inside artwork.,Heritage Sandstone,Classic Heritage,Winter,EN+GU,Draft,1.0,Named Occasion
2026-01-10,Saturday,World Hindi Day,વિશ્વ હિન્દી દિવસ,Language and Culture,Global,Cultural Pride,1,"Let the meaning of World Hindi Day guide us toward responsibility, respect and thoughtful action.","વિશ્વ હિન્દી દિવસનો અર્થ આપણને જવાબદારી, સન્માન અને વિચારપૂર્વકના કાર્ય તરફ દોરી જાય.",Premium greeting-card artwork for World Hindi Day; cultural context: Global; mood: Cultural Pride; season: Winter; elegant composition with clear bilingual text space; authentic details; no text inside artwork.,Heritage Sandstone,Modern Editorial,Winter,EN+GU,Draft,1.0,Named Occasion
2026-01-11,Sunday,Courage Day,હિંમત દિવસ,Everyday Inspiration,Indian,Courage,3,Courage is often a quiet decision to do what is right despite uncertainty.,હિંમત ઘણીવાર અનિશ્ચિતતા છતાં યોગ્ય કાર્ય કરવાની શાંત પસંદગી હોય છે.,Premium greeting-card artwork for Courage Day; cultural context: Indian; mood: Courage; season: Winter; elegant composition with clear bilingual text space; authentic details; no text inside artwork.,Midnight Indigo,Modern Editorial,Winter,EN+GU,Draft,1.0,Evergreen
2026-01-12,Monday,National Youth Day,રાષ્ટ્રીય યુવા દિવસ,National Observance,Indian,Inspiration,1,"Let the meaning of National Youth Day guide us toward responsibility, respect and thoughtful action.","રાષ્ટ્રીય યુવા દિવસનો અર્થ આપણને જવાબદારી, સન્માન અને વિચારપૂર્વકના કાર્ય તરફ દોરી જાય.",Premium greeting-card artwork for National Youth Day; cultural context: Indian; mood: Inspiration; season: Winter; elegant composition with clear bilingual text space; authentic details; no text inside artwork.,Royal Saffron,Modern Editorial,Winter,EN+GU,Draft,1.0,Named Occasion
2026-01-13,Tuesday,Lohri,લોહડી,Festival,Regional Indian,Joy,1,"Let the meaning of Lohri guide us toward responsibility, respect and thoughtful action.","લોહડીનો અર્થ આપણને જવાબદારી, સન્માન અને વિચારપૂર્વકના કાર્ય તરફ દોરી જાય.",Premium greeting-card artwork for Lohri; cultural context: Regional Indian; mood: Joy; season: Winter; elegant composition with clear bilingual text space; authentic details; no text inside artwork.,Festival Gold,Royal Greeting,Winter,EN+GU,Draft,1.0,Named Occasion
2026-01-14,Wednesday,Makar Sankranti • Uttarayan • Pongal,મકર સંક્રાંતિ • ઉત્તરાયણ • પોંગલ,Festival,Regional Indian,Joy,1,"Let your aspirations rise like a kite, while your values keep you firmly grounded.","તમારી આશાઓ પતંગની જેમ ઊંચી ઉડે, પરંતુ તમારા સંસ્કારો તમને મજબૂત રીતે ધરતી સાથે જોડેલા રાખે.",Premium greeting-card artwork for Makar Sankranti • Uttarayan • Pongal; cultural context: Regional Indian; mood: Joy; season: Winter; elegant composition with clear bilingual text space; authentic details; no text inside artwork.,Royal Saffron,Nature Canvas,Winter,EN+GU,Draft,1.0,Named Occasion
2026-01-15,Thursday,Army Day,સેના દિવસ,National Observance,Indian,Pride,1,"Let the meaning of Army Day guide us toward responsibility, respect and thoughtful action.","સેના દિવસનો અર્થ આપણને જવાબદારી, સન્માન અને વિચારપૂર્વકના કાર્ય તરફ દોરી જાય.",Premium greeting-card artwork for Army Day; cultural context: Indian; mood: Pride; season: Winter; elegant composition with clear bilingual text space; authentic details; no text inside artwork.,Heritage Sandstone,Classic Heritage,Winter,EN+GU,Draft,1.0,Named Occasion
2026-01-16,Friday,Learning Day,શીખવાનો દિવસ,Education,Indian,Wisdom,3,Every person we meet and every difficulty we face can become a teacher.,અપણે મળતા દરેક વ્યક્તિ અને સામનો કરતી દરેક મુશ્કેલી એક શિક્ષક બની શકે છે.,Premium greeting-card artwork for Learning Day; cultural context: Indian; mood: Wisdom; season: Winter; elegant composition with clear bilingual text space; authentic details; no text inside artwork.,Peacock Royal,Modern Editorial,Winter,EN+GU,Draft,1.0,Evergreen
